Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
1.10.21,,Half Natural Grip Pull-Ups,0,10.10.4,,Close Grip Chin-Ups,0,4.4.4,,Delt / Rhomboid Dumbbell Rows,20,10.10.10,,Concentration Curls,30,5.5.5,,Twisted Curls,15,24.16.10
1.22.21,,Half Natural Grip Pull-Ups,0,5.5.5,,Close Grip Chin-Ups,0,5.4.4,,Delt / Rhomboid Dumbbell Rows,20,10.10.10,,Concentration Curls,30,7.6.4,,Twisted Curls,15,13.12.11
1.31.21,,Half Natural Grip Pull-Ups,0,10.9.8,,Close Grip Chin-Ups,0,6.5.3,,Pendlay Row,40,10.8.8,,Concentration Curls,30,8.6.0,,Twisted Curls,20,8.7.0
2.14.21,,Half Natural Grip Pull-Ups,0,11.10.9,,Close Grip Chin-Ups,0,5.4.3,,Pendlay Row,40,10.10.10,,Concentration Curls,30,6.4.3,,Twisted Curls,20,8.7.6
2.22.21,,Wide Grip Pull-Up From Standing,0,7.6.5,,Natural Grip Pull-Ups,0,3.3.3,,Delt / Rhomboid Dumbbell Rows,20,10.8.0,,Concentration Curls,30,7.6.5,,Twisted Curls,20,10.8.7
3.9.21,,Wide Grip Pull-Up From Standing,0,7.7.5,,Natural Grip Half Pull-Ups,0,8.7.6,,Delt / Rhomboid Dumbbell Rows,20,10.9.8,,Concentration Curls,35,4.4.4,,Twisted Curls,20,10.10.10
3.20.21,,Wide Grip Pull-Up,0,5.4.1,,Natural Grip Half Pull-Ups,0,9.8.7,,Delt / Rhomboid Dumbbell Rows,20,10.10.10,,Concentration Curls,35,5.4.2,,Twisted Curls,20,10.10.10
3.31.21,,Natural Grip Pull-Ups,0,6.5.4,,,,,,Delt / Rhomboid Dumbbell Rows,20,10.10.10,,Concentration Curls,30,6.5.4,,Twisted Curls,20,10.10.
4.5.21,,Natural Grip Pull-Ups,0,7.6.5,,,,,,Delt / Rhomboid Dumbbell Rows,15,10.10.10,,Preacher Dumbbell Curls,20,5.5.5,,Twisted Curls,15,20.15.10
4.17.21,,Underhand Wide Grip Pull-Ups,0,5.5.3,,,,,,Horizontal Barbell Row,30,10.10.10,,Russian Twists,25,10.10.10,,,,
