Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
1.13.21,,Chest Press,90,8.8.8,,Pushups,0,20.20.10,,Skull Crushers,10,7.7.6
1.21.21,,Incline Chest Press,75,8.8.8,,Pushups,0,20.16.14,,Skull Crushers,10,10.9.8
2.2.21,,Chest Press,95,8.7.5,,Pushups,0,25.0.0,,Skull Crushers,12.5,10.5.4
2.11.21,,Chest Press,95,8.7.5,,Pushups,0,20.18.16,,French Press,15,7.3.2
2.21.21,,Incline Chest Press,80,8.8.8,,Pushups (Ft raise 1 in),0,20.18.16,,French Press,10,10.7.7
3.8.21,,Chest Press,100,8.5.5,,Pushups (Ft raise 1 in),0,20.18.16,,French Press,10,12.10.8
3.18.21,,Incline Chest Press,85,8.8.7,,Pushups,0,22.20.18,,French Press,15,5.3.3
3.30.21,,Chest Press,100,6.7.5,,Pushups,0,25.20.20,,French Press,15,3.3.4
4.6.21,,Incline Chest Press,85,8.8.8,,Pushups,0,20.11.2,,French Press,15,8.6.4
4.12.21,,Chest Press,100,7.7.5,,Pushups,0,16.14.12,,Skull Crushers,10,12.9.9
4.19.21,,Incline Chest Press,90,8.8.4.,,Pushups,0,18.16.14,,Skull Crushers,10,12.12.9
