Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
5.8.21,,Squat,120,8.8.8,,Romanian Deadlift,125,10.10.10,,Calf Raise,0,35.30.20
5.16.21,,Deep Squat,90,8.8.8,,Romanian Deadlift,130,10.10.10,,Calf Raise,0,40.35.30
5.23.21,,Deep Squat,95,8.8.8,,Romanian Deadlift,130,8.8.8,,Calf Raise,0,40.35.30
6.1.21,,Deep Squat,100,8.8.6,,Romanian Deadlift,135,8.8.8,,Calf Raise,0,40.30.25
6.14.21,,Deep Squat,100,8.8.6,,Romanian Deadlift,140,8.8.8,,Calf Raise,0,40.35.30
6.22.21,,Deep Squat,100,8.8.7,,Romanian Deadlift,140,8.8.8,,Calf Raise,0,40.35.30
7.24.21,,Deep Squat,100,8.7.6,,Romanian Deadlift,140,8.8.5,,Calf Raise,0,40.30.20
8.22.21,,Deep Squat,95,8.8.8,,Romanian Deadlift,135,8.8.8,,Calf Raise,0,40.30.20
8.29.21,,Deep Squat,95,9.8.8,,Romanian Deadlift,135,9.9.9,,Calf Raise,0,40.30.20
8.8.21,,Deep Squat,95,9.9.8,,Romanian Deadlift,140,9.9.9,,Calf Raise,0,40.30.20
