Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
4.26.21,,Close-Grip Chin-Ups,0,6.6.5,,Overhand Wide-Grip Bent-over Barbell Row,40,16.16.16,,Concentration Curls,25,8.8.8,,Twisted Curls,15,10.10.10
5.3.21,,Mid-Grip Pull-Ups,0,4.2.1,,Overhand Wide-Grip Bent-over Barbell Row,45,16.16.12,,,,,,Twisted Curls,15,30.20.15
5.13.21,,Natural Grip Pull-Ups,0,5.4.4,,Overhand Wide-Grip Bent-over Barbell Row,50,12.12.12,,Concentration Curls,30,6.5.4,,Twisted Curls,20,10.9.8
5.17.21,,Natural Grip Pull-Ups,0,6.5.3,,Overhand Wide-Grip Bent-over Barbell Row,55,12.8.9,,Half Fat Grip Concentration Curls,30,7.7.8,,Twisted Curls,20,8.7.8
5.25.21,,Mid-Grip Pull-Ups,0,6.4.3,,,,,,Half Fat Grip Concentration Curls,35,7.6.0,,Twisted Curls,15,16.10.10
6.15.21,,Natural Grip Pull-Ups,0,7.6.5,,Overhand Wide-Grip Bent-over Barbell Row,50,10.10.10,,Lateral Raises,10,10.10.8,,,,
6.24.21,,Mid Grip Pull-Ups,0,6.5.4,,Overhand Wide-Grip Bent-over Barbell Row,50,10.10.10,,Lateral Raises,10,8.8.8,,,,
7.3.21,,Mid Grip Pull-Ups,0,8.5.4,,Dumbbell Rows,20,8.8.10,,Lateral Raises,10,10.10.10,,,,
7.20.21,,Mid Grip Pull-Ups,0,6.5.4,,Dumbbell Rows,20,8.8.8,,Lateral Raises,10,10.10.10,,Twisted Curls,15,16.12.10
7.25.21,,Natural Grip Pull-Ups,0,8.6.5,,Dumbbell Rows,20,8.8.8,,Lateral Raises,10,11.11.8,,Twisted Curls,15,18.12.12
8.21.21,,Mid Grip Pull-Ups,0,7.6.4,,Dumbbell Rows,20,8.8.8,,Lateral Raises,10,11.11.7,,Twisted Curls,20,12.11.8
8.28.21,,Mid Grip Pull-Ups,0,7.6.5,,Dumbbell Rows,15,8.8.8,,Lateral Raises,10,12.9.6,,Twisted Curls,25,10.9.8
9.6.21,,Mid Grip Pull-Ups,0,8.6.5,,Dumbbell Rows,15,8.8.8,,Lateral Raises,10,11.8.5,,Twisted Curls,25,10.9.8
