Date,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps,,Exercise,Lbs,Reps
9..13.21,,Bench Press,95,8.8.7,,Pushups,0,12.10.8,,French Press,10,8.7.6,,Boat,0,75.70.60,,Russian Twists,25,16.12.10
9.19.21,,Bench Press,95,8.8.6,,Pushups,0,16.12.10,,French Press,10,10.8.6,,Boat,0,85.75.70,,Russian Twists,25,17.13.11
9.25.21,,Bench Press,95,9.8.7,,Pushups,0,16.12.12,,French Press,10,14.8.4,,Boat,0,90.80.70,,Russian Twists,0,25.25.25
10.2.21,,Bench Press,95,10.9.8,,Pushups,0,16.14.12,,French Press,12.5,10.7.6,,Boat,0,100.85.70,,Russian Twists,0,25.25.25
10.11.21,,Bench Press,100,8.7.5,,Pushups,0,20.15.10,,French Press,12.5,10.8.6,,Boat,0,105.90.75,,Russian Twists,0,25.25.25
10.18.21,,Bench Press,100,8.7.6,,Pushups,0,20.16.12,,French Press,12.5,10.9.6,,Boat,0,110.95.80,,Russian Twists,0,25.25.25
10.25.21,,Bench Press,100,9.7.6,,Dumbbell Flies,15,12.10.8,,French Press,12.5,12.10.8,,Boat,0,110.95.80,,Russian Twists,0,30.25.25
11.1.21,,Bench Press,100,9.8.6,,Pushups,0,18.16.14,,Skull Crushers,15,5.4.4,,Boat,0,115.100.85,,Russian Twists,0,30.30.25
11.9.21,,Bench Press,105,8.7.5,,Pushups,0,18.16.14,,French Press,15,9.8.8,,Lying Leg Raises,0,11.10.9,,Russian Twists,0,35.30.25
11.19.21,,Bench Press,105,8.7.5,,Pushups,0,18.16.14,,French Press,17.5,8.8.8,,Lying Leg Raises,0,12.10.9,,Russian Twists,0,35
11.29.21,,Bench Press,105,8.7.6.,,Pushups,0,22.18.14,,French Press,20,6.5.5,,Lying Leg Raises,0,11.7.6,,Russian Twists,0,35.30.25
